seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr12	96794399	96794417	19	*	X1555	5128	96672039	96794366	122328	-	32	upstream	32	CDK17
chr12	98897688	98897745	58	*	X1559	643770	98879322	98897633	18312	-	54	upstream	54	LINC02453
chr12	100750709	100750813	105	*	X1563	246213	100750857	100815837	64981	+	43	upstream	43	SLC17A8
chr12	100866486	100866612	127	*	X1564	9971	100867551	100957645	90095	+	938	upstream	938	NR1H4
chr12	102224799	102224933	135	*	X1568	79158	102139275	102224645	85371	-	153	upstream	153	GNPTAB
chr12	102271027	102271176	150	*	X1570	55332	102271105	102317401	46297	+	0	overlapStart	0	DRAM1
chr12	106642071	106642333	263	*	X1582	10970	106631659	106641713	10055	-	357	upstream	357	CKAP4
chr12	107711319	107711438	120	*	X1587	121551	107712197	108053419	341223	+	758	upstream	758	BTBD11
chr12	108733140	108733334	195	*	X1596	1240	108681821	108733094	51274	-	45	upstream	45	CMKLR1
chr12	108734235	108734429	195	*	X1597	1240	108681821	108733094	51274	-	1140	upstream	1140	CMKLR1
chr12	109028417	109028485	69	*	X1599	6404	109015680	109027670	11991	-	746	upstream	746	SELPLG
chr12	110213136	110213198	63	*	X1605	84983	110172014	110211292	39279	-	1843	upstream	1843	FAM222A-AS1
chr12	111843182	111843277	96	*	X1612	10019	111843752	111889427	45676	+	474	upstream	474	SH2B3
chr12	112125163	112125252	90	*	X1614	8315	112079950	112123790	43841	-	1372	upstream	1372	BRAP
chr12	112451397	112451416	20	*	X1615	10961	112451152	112461024	9873	+	0	inside	244	ERP29
chr12	112451397	112451416	20	*	X1615	89894	112369087	112451023	81937	-	373	upstream	373	TMEM116
chr12	112819679	112819751	73	*	X1616	283450	112597992	112819896	221905	-	0	inside	144	HECTD4
chr12	113416116	113416235	120	*	X1619	4939	113416274	113449528	33255	+	38	upstream	38	OAS2
chr12	115122209	115122291	83	*	X1634	6926	115108059	115121969	13911	-	239	upstream	239	TBX3
chr12	117319277	117319426	150	*	X1640	8739	117298225	117319232	21008	-	44	upstream	44	HRK
chr12	117801309	117801413	105	*	X1648	4842	117645947	117799607	153661	-	1701	upstream	1701	NOS1
chr12	119417609	119417698	90	*	X1656	84530	119419300	119600856	181557	+	1601	upstream	1601	SRRM4
chr12	120907100	120907132	33	*	X1662	8655	120907660	120936298	28639	+	527	upstream	527	DYNLL1
chr12	120934738	120934780	43	*	X1663	100506668	120928141	120933749	5609	-	988	upstream	988	NRAV
chr12	123635152	123635249	98	*	X1673	57605	123468027	123635285	167259	-	0	inside	35	PITPNM2
chr12	123718514	123718568	55	*	X1674	10198	123640946	123717658	76713	-	855	upstream	855	MPHOSPH9
chr12	123868820	123868969	150	*	X1675	387893	123868704	123893900	25197	+	0	inside	115	KMT5A
chr12	124457441	124457539	99	*	X1677	100533183	124457762	124800570	342809	+	222	upstream	222	ZNF664-RFLNA
chr12	124457441	124457539	99	*	X1677	144348	124457762	124499986	42225	+	222	upstream	222	ZNF664
chr12	124457441	124457539	99	*	X1677	80212	124420955	124457163	36209	-	277	upstream	277	CCDC92
chr13	20767653	20767757	105	*	X1711	2706	20761604	20767114	5511	-	538	upstream	538	GJB2
chr13	20767833	20767952	120	*	X1712	2706	20761604	20767114	5511	-	718	upstream	718	GJB2
chr13	20768283	20768342	60	*	X1713	2706	20761604	20767114	5511	-	1168	upstream	1168	GJB2
chr13	20768763	20768882	120	*	X1714	2706	20761604	20767114	5511	-	1648	upstream	1648	GJB2
chr13	28674509	28674703	195	*	X1734	2322	28577411	28674729	97319	-	0	inside	25	FLT3
chr13	31773873	31773973	101	*	X1746	145173	31774112	31906411	132300	+	138	upstream	138	B3GLCT
chr13	33160625	33160650	26	*	X1751	23047	33160564	33352158	191595	+	0	inside	60	PDS5B
chr13	41241299	41241307	9	*	X1755	2308	41048131	41240734	192604	-	564	upstream	564	FOXO1
chr13	41242501	41242597	97	*	X1756	2308	41048131	41240734	192604	-	1766	upstream	1766	FOXO1
chr13	41634565	41634641	77	*	X1757	11193	41635697	41658139	22443	+	1055	upstream	1055	WBP4
chr13	44453911	44454000	90	*	X1764	160857	44410489	44453826	43338	-	84	upstream	84	CCDC122
chr13	44454441	44454560	120	*	X1765	160857	44410489	44453826	43338	-	614	upstream	614	CCDC122
chr13	48878382	48878419	38	*	X1774	100862704	48870649	48877797	7149	-	584	upstream	584	RB1-DT
chr13	50366708	50366898	191	*	X1778	3839	50273443	50367057	93615	-	0	inside	158	KPNA3
chr13	50571440	50571484	45	*	X1779	100500908	50570551	50570637	87	-	802	upstream	802	MIR3613
chr13	50571440	50571484	45	*	X1779	10206	50571143	50592603	21461	+	0	inside	296	TRIM13
chr13	52586231	52586308	78	*	X1785	440138	52586523	52591849	5327	+	214	upstream	214	ALG11
chr13	52586231	52586308	78	*	X1785	540	52506806	52585630	78825	-	600	upstream	600	ATP7B
chr13	52586231	52586308	78	*	X1785	9724	52586523	52607736	21214	+	214	upstream	214	UTP14C
chr13	53383541	53383690	150	*	X1788	100313778	53384185	53384275	91	+	494	upstream	494	MIR759
chr13	72441551	72441670	120	*	X1794	1602	72012098	72441330	429233	-	220	upstream	220	DACH1
chr13	80915944	80916039	96	*	X1799	10253	80910112	80915086	4975	-	857	upstream	857	SPRY2
chr13	80916424	80916444	21	*	X1800	10253	80910112	80915086	4975	-	1337	upstream	1337	SPRY2
chr13	92001198	92001351	154	*	X1802	406980	92002859	92003645	787	+	1507	upstream	1507	MIR19B1
chr13	100258835	100259010	176	*	X1808	171425	100258919	100549388	290470	+	0	overlapStart	0	CLYBL
chr13	110961284	110961311	28	*	X1821	1282	110801310	110959496	158187	-	1787	upstream	1787	COL4A1
chr13	111366420	111366569	150	*	X1838	79587	111293757	111365950	72194	-	469	upstream	469	CARS2
chr13	111366630	111366719	90	*	X1839	79587	111293757	111365950	72194	-	679	upstream	679	CARS2
chr13	111522341	111522385	45	*	X1841	283487	111516334	111522655	6322	-	0	inside	269	PRECSIT
chr13	111567507	111567671	165	*	X1842	55608	111530887	111567416	36530	-	90	upstream	90	ANKRD10
chr13	111567687	111567770	84	*	X1843	55608	111530887	111567416	36530	-	270	upstream	270	ANKRD10
chr13	114462143	114462292	150	*	X1860	348013	114462216	114514899	52684	+	0	overlapStart	0	TMEM255B
chr13	114565818	114565892	75	*	X1862	100506394	114567150	114569805	2656	+	1257	upstream	1257	GAS6-DT
chr13	114566448	114566507	60	*	X1863	100506394	114567150	114569805	2656	+	642	upstream	642	GAS6-DT
chr13	115000396	115000573	178	*	X1865	8881	115000362	115038150	37789	+	0	inside	33	CDC16
chr13	115000649	115000711	63	*	X1866	8881	115000362	115038150	37789	+	0	inside	286	CDC16
chr14	21538320	21538469	150	*	X1871	55701	21538527	21558036	19510	+	57	upstream	57	ARHGEF40
chr14	21539550	21539669	120	*	X1872	57447	21484922	21539031	54110	-	518	upstream	518	NDRG2
chr14	23058691	23058761	71	*	X1887	1603	23033807	23058143	24337	-	547	upstream	547	DAD1
chr14	23351599	23351673	75	*	X1891	161253	23352432	23356889	4458	+	758	upstream	758	REM2
chr14	23352412	23352468	57	*	X1892	161253	23352432	23356889	4458	+	0	overlapStart	0	REM2
chr14	23452049	23452123	75	*	X1894	84962	23440410	23451848	11439	-	200	upstream	200	AJUBA
chr14	23526337	23526456	120	*	X1898	64403	23516270	23526747	10478	-	0	inside	290	CDH24
chr14	23563912	23563935	24	*	X1899	55017	23564683	23569665	4983	+	747	upstream	747	C14orf119
chr14	23653289	23653423	135	*	X1905	23428	23594504	23652869	58366	-	419	upstream	419	SLC7A8
chr14	23821705	23821914	210	*	X1907	51310	23815527	23822080	6554	-	0	inside	165	SLC22A17
chr14	23822185	23822289	105	*	X1908	51310	23815527	23822080	6554	-	104	upstream	104	SLC22A17
chr14	23842285	23842389	105	*	X1911	64806	23842018	23845612	3595	+	0	inside	266	IL25
chr14	23888813	23888885	73	*	X1916	100126336	23887196	23887272	77	-	1540	upstream	1540	MIR208B
chr14	23906303	23906467	165	*	X1919	4625	23881947	23904870	22924	-	1432	upstream	1432	MYH7
chr14	24038018	24038152	135	*	X1922	8906	24028777	24037279	8503	-	738	upstream	738	AP1G2
chr14	24048338	24048401	64	*	X1923	84502	24037244	24048009	10766	-	328	upstream	328	JPH4
chr14	24835036	24835125	90	*	X1929	4776	24836145	24848810	12666	+	1019	upstream	1019	NFATC4
chr14	24835516	24835650	135	*	X1930	4776	24836145	24848810	12666	+	494	upstream	494	NFATC4
chr14	24835951	24836055	105	*	X1931	4776	24836145	24848810	12666	+	89	upstream	89	NFATC4
chr14	24836431	24836550	120	*	X1932	4776	24836145	24848810	12666	+	0	inside	285	NFATC4
chr14	32546569	32546622	54	*	X1945	84837	32544625	32545905	1281	-	663	upstream	663	ARHGAP5-AS1
chr14	35873991	35874078	88	*	X1947	4792	35870716	35873960	3245	-	30	upstream	30	NFKBIA
chr14	50359548	50359625	78	*	X1951	382	50359736	50363772	4037	+	110	upstream	110	ARF6
chr14	50474388	50474392	5	*	X1954	283551	50448430	50474238	25809	-	149	upstream	149	LINC01588
chr14	52118769	52118873	105	*	X1958	145438	52116236	52118462	2227	-	306	upstream	306	FRMD6-AS1
chr14	52313790	52313825	36	*	X1959	54331	52313952	52436518	122567	+	126	upstream	126	GNG2
chr14	55034558	55034692	135	*	X1967	23034	55034330	55260033	225704	+	0	inside	227	SAMD4A
chr14	64319949	64320173	225	*	X2003	23224	64319683	64693167	373485	+	0	inside	265	SYNE2
chr14	64932346	64932357	12	*	X2004	9495	64932217	64941221	9005	+	0	inside	128	AKAP5
chr14	65346723	65346812	90	*	X2015	6710	65213001	65346601	133601	-	121	upstream	121	SPTB
chr14	65347083	65347232	150	*	X2016	6710	65213001	65346601	133601	-	481	upstream	481	SPTB
chr14	69444575	69444709	135	*	X2022	161159	69446399	69454180	7782	+	1689	upstream	1689	ACTN1-AS1
chr14	69621908	69621997	90	*	X2023	8816	69517637	69619914	102278	-	1993	upstream	1993	DCAF5
chr14	69658382	69658501	120	*	X2024	55218	69658194	69710737	52544	+	0	inside	187	EXD2
chr14	73362026	73362145	120	*	X2038	8110	73086004	73360809	274806	-	1216	upstream	1216	DPF3
chr14	74550915	74551028	114	*	X2041	4329	74526872	74551196	24325	-	0	inside	167	ALDH6A1
chr14	74550915	74551028	114	*	X2041	91750	74551656	74667117	115462	+	627	upstream	627	LIN52
chr14	75744876	75744980	105	*	X2046	2353	75745481	75748937	3457	+	500	upstream	500	FOS
chr14	75894071	75894160	90	*	X2052	122953	75894509	75939404	44896	+	348	upstream	348	JDP2
chr14	76448985	76449049	65	*	X2061	7043	76424442	76448092	23651	-	892	upstream	892	TGFB3
chr14	77787242	77787262	21	*	X2074	2954	77787230	77797940	10711	+	0	inside	11	GSTZ1
chr14	77787242	77787262	21	*	X2074	29954	77741299	77787225	45927	-	16	upstream	16	POMT2
chr14	91282914	91282972	59	*	X2087	145567	91006932	91282761	275830	-	152	upstream	152	TTC7B
chr14	91283054	91283093	40	*	X2088	145567	91006932	91282761	275830	-	292	upstream	292	TTC7B
chr14	91283104	91283328	225	*	X2089	145567	91006932	91282761	275830	-	342	upstream	342	TTC7B
chr14	91284049	91284098	50	*	X2090	145567	91006932	91282761	275830	-	1287	upstream	1287	TTC7B
chr14	92588460	92588574	115	*	X2095	4707	92582468	92588153	5686	-	306	upstream	306	NDUFB1
chr14	92588460	92588574	115	*	X2095	53981	92588298	92630543	42246	+	0	inside	161	CPSF2
chr14	94595802	94595907	106	*	X2105	83982	94594118	94595957	1840	-	0	inside	49	IFI27L2
chr14	101352276	101352365	90	*	X2145	388015	101346992	101351184	4193	-	1091	upstream	1091	RTL1
chr14	102783368	102783472	105	*	X2160	55778	102783714	102809511	25798	+	241	upstream	241	ZNF839
chr14	103590841	103590948	108	*	X2172	7127	103592664	103603776	11113	+	1715	upstream	1715	TNFAIP2
chr14	105767358	105767514	157	*	X2194	23241	105767170	105864484	97315	+	0	inside	187	PACS2
chr14	105956024	105956184	161	*	X2199	283643	105956192	105965585	9394	+	7	upstream	7	TEDC1
chr15	35262125	35262253	129	*	X2223	9716	35148552	35261995	113444	-	129	upstream	129	AQR
chr15	41166244	41166348	105	*	X2237	171177	41164412	41166487	2076	-	0	inside	138	RHOV
chr15	41186392	41186616	225	*	X2238	57617	41186628	41196173	9546	+	11	upstream	11	VPS18
chr15	41220585	41220689	105	*	X2242	54567	41221531	41231258	9728	+	841	upstream	841	DLL4
chr15	41221380	41221484	105	*	X2243	54567	41221531	41231258	9728	+	46	upstream	46	DLL4
chr15	42120126	42120152	27	*	X2246	100137047	42120283	42132428	12146	+	130	upstream	130	JMJD7
chr15	42120126	42120152	27	*	X2246	8681	42120283	42140346	20064	+	130	upstream	130	JMJD7-PLA2G4B
chr15	42264387	42264506	120	*	X2247	30844	42191639	42264755	73117	-	0	inside	248	EHD4
chr15	43029370	43029373	4	*	X2250	146059	43015760	43029417	13658	-	0	inside	43	CDAN1
chr15	43802415	43802473	59	*	X2254	7158	43699412	43802707	103296	-	0	inside	233	TP53BP1
chr15	45004091	45004345	255	*	X2256	197135	44957930	45003514	45585	-	576	upstream	576	PATL2
chr15	56285989	56286013	25	*	X2263	4734	56119122	56285835	166714	-	153	upstream	153	NEDD4
chr15	59729461	59729533	73	*	X2275	145773	59730372	59815751	85380	+	838	upstream	838	FAM81A
chr15	59729699	59729803	105	*	X2276	145773	59730372	59815751	85380	+	568	upstream	568	FAM81A
chr15	63796630	63796707	78	*	X2289	9960	63796710	63886839	90130	+	2	upstream	2	USP3
chr15	65321988	65322107	120	*	X2290	123263	65293850	65321977	28128	-	10	upstream	10	MTFMT
chr15	65579205	65579246	42	*	X2291	54956	65550437	65579018	28582	-	186	upstream	186	PARP16
chr15	66994760	66994913	154	*	X2297	4091	66994674	67074337	79664	+	0	inside	85	SMAD6
chr15	74419881	74419952	72	*	X2336	57611	74421715	74429143	7429	+	1762	upstream	1762	ISLR2
chr15	75871833	75871874	42	*	X2341	5780	75759462	75871625	112164	-	207	upstream	207	PTPN9
chr15	76134963	76135112	150	*	X2344	92912	76135622	76193388	57767	+	509	upstream	509	UBE2Q2
chr15	76352399	76352548	150	*	X2345	123591	76352299	76521462	169164	+	0	inside	99	TMEM266
chr15	78527524	78527611	88	*	X2362	23205	78463187	78527049	63863	-	474	upstream	474	ACSBG1
chr15	78913339	78913443	105	*	X2365	1136	78885395	78913637	28243	-	0	inside	193	CHRNA3
chr15	78914014	78914088	75	*	X2366	1136	78885395	78913637	28243	-	376	upstream	376	CHRNA3
chr15	80987107	80987226	120	*	X2373	58489	80987652	81047962	60311	+	425	upstream	425	ABHD17C
chr15	81616951	81616994	44	*	X2379	80765	81605007	81616524	11518	-	426	upstream	426	STARD5
chr15	90728007	90728246	240	*	X2398	10509	90728152	90772892	44741	+	0	overlapStart	0	SEMA4B
chr15	90776712	90776779	68	*	X2399	390637	90777487	90785312	7826	+	707	upstream	707	GDPGP1
chr16	402758	402787	30	*	X2417	8312	337440	402676	65237	-	81	upstream	81	AXIN1
chr16	2075995	2076099	105	*	X2424	9351	2076869	2089027	12159	+	769	upstream	769	SLC9A3R2
chr16	2076460	2076579	120	*	X2425	9351	2076869	2089027	12159	+	289	upstream	289	SLC9A3R2
chr16	2479469	2479501	33	*	X2429	899	2479395	2508859	29465	+	0	inside	73	CCNF
chr16	2525228	2525418	191	*	X2431	57465	2525147	2570224	45078	+	0	inside	80	TBC1D24
chr16	2771288	2771404	117	*	X2433	83886	2762423	2770552	8130	-	735	upstream	735	PRSS27
chr16	2907943	2908029	87	*	X2435	64063	2902728	2908171	5444	-	0	inside	141	PRSS22
chr16	2908333	2908602	270	*	X2436	64063	2902728	2908171	5444	-	161	upstream	161	PRSS22
chr16	2908858	2908891	34	*	X2437	64063	2902728	2908171	5444	-	686	upstream	686	PRSS22
chr16	3013231	3013309	79	*	X2439	79412	3014217	3018384	4168	+	907	upstream	907	KREMEN2
chr16	3013353	3013365	13	*	X2440	79412	3014217	3018384	4168	+	851	upstream	851	KREMEN2
chr16	3013531	3013680	150	*	X2441	79412	3014217	3018384	4168	+	536	upstream	536	KREMEN2
chr16	3013711	3013845	135	*	X2442	79412	3014217	3018384	4168	+	371	upstream	371	KREMEN2
chr16	3014086	3014295	210	*	X2443	79412	3014217	3018384	4168	+	0	overlapStart	0	KREMEN2
chr16	3096221	3096325	105	*	X2446	64386	3096682	3110724	14043	+	356	upstream	356	MMP25
chr16	3662023	3662127	105	*	X2450	84464	3631184	3661585	30402	-	437	upstream	437	SLX4
chr16	3930049	3930166	118	*	X2451	1387	3775056	3930121	155066	-	0	overlapStart	0	CREBBP
chr16	4303972	4303998	27	*	X2456	100507501	4295826	4303790	7965	-	181	upstream	181	LINC01569
chr16	4666519	4666555	37	*	X2459	124402	4658884	4664927	6044	-	1591	upstream	1591	UBALD1
chr16	8963020	8963162	143	*	X2465	23589	8946799	8962869	16071	-	150	upstream	150	CARHSP1
chr16	14396506	14396595	90	*	X2493	574455	14397824	14397906	83	+	1228	upstream	1228	MIR193B
chr16	14397106	14397210	105	*	X2494	574455	14397824	14397906	83	+	613	upstream	613	MIR193B
chr16	14397256	14397360	105	*	X2495	574455	14397824	14397906	83	+	463	upstream	463	MIR193B
chr16	14397421	14397525	105	*	X2496	574455	14397824	14397906	83	+	298	upstream	298	MIR193B
chr16	25042943	25043048	106	*	X2514	554206	25043062	25044098	1037	+	13	upstream	13	LOC554206
chr16	28565545	28565574	30	*	X2523	112869	28565249	28603111	37863	+	0	inside	295	SGF29
chr16	28985549	28985552	4	*	X2526	83985	28986096	28996838	10743	+	543	upstream	543	SPNS1
chr16	29816427	29816471	45	*	X2533	4150	29817417	29822504	5088	+	945	upstream	945	MAZ
chr16	29816727	29816742	16	*	X2534	4150	29817417	29822504	5088	+	674	upstream	674	MAZ
chr16	30381326	30381368	43	*	X2539	26000	30368422	30381522	13101	-	0	inside	153	TBC1D10B
chr16	30382539	30382658	120	*	X2540	26000	30368422	30381522	13101	-	1016	upstream	1016	TBC1D10B
chr16	30389747	30389753	7	*	X2541	197407	30389633	30411429	21797	+	0	inside	113	ZNF48
chr16	30662135	30662257	123	*	X2543	78994	30662241	30667734	5494	+	0	overlapStart	0	PRR14
chr16	30671315	30671500	186	*	X2544	64319	30671243	30682131	10889	+	0	inside	71	FBRS
chr16	30798840	30798946	107	*	X2545	23361	30789770	30798523	8754	-	316	upstream	316	ZNF629
chr16	31086149	31086298	150	*	X2551	79759	31072164	31085641	13478	-	507	upstream	507	ZNF668
chr16	31213688	31213807	120	*	X2553	29108	31212807	31214097	1291	-	0	inside	289	PYCARD
chr16	48189745	48189864	120	*	X2569	94160	48116884	48189929	73046	-	0	inside	64	ABCC12
chr16	49893046	49893225	180	*	X2572	23090	49524515	49891830	367316	-	1215	upstream	1215	ZNF423
chr16	50402998	50403043	46	*	X2578	29117	50352929	50402845	49917	-	152	upstream	152	BRD7
chr16	50581783	50581917	135	*	X2588	85407	50582241	50674771	92531	+	323	upstream	323	NKD1
chr16	54964521	54964593	73	*	X2601	10265	54965111	54968395	3285	+	517	upstream	517	IRX5
chr16	54964521	54964593	73	*	X2601	643911	54952777	54963101	10325	-	1419	upstream	1419	CRNDE
chr16	55989698	55989802	105	*	X2604	221223	55880066	55989943	109878	-	0	inside	140	CES5A
chr16	56691548	56691772	225	*	X2609	4494	56691855	56693215	1361	+	82	upstream	82	MT1F
chr16	56691818	56691862	45	*	X2610	4494	56691855	56693215	1361	+	0	overlapStart	0	MT1F
chr16	56703353	56703365	13	*	X2611	4495	56700653	56701977	1325	-	1375	upstream	1375	MT1G
chr16	56703353	56703365	13	*	X2611	4496	56703726	56705041	1316	+	360	upstream	360	MT1H
chr16	56703623	56703727	105	*	X2612	4495	56700653	56701977	1325	-	1645	upstream	1645	MT1G
chr16	56703623	56703727	105	*	X2612	4496	56703726	56705041	1316	+	0	overlapStart	0	MT1H
chr16	57572059	57572193	135	*	X2621	92922	57546090	57570477	24388	-	1581	upstream	1581	CCDC102A
chr16	57897671	57897790	120	*	X2623	3801	57792129	57896733	104605	-	937	upstream	937	KIFC3
chr16	58034587	58034697	111	*	X2626	57567	58028573	58033762	5190	-	824	upstream	824	ZNF319
chr16	58034587	58034697	111	*	X2626	79650	58035277	58055527	20251	+	579	upstream	579	USB1
chr16	58035538	58035560	23	*	X2627	57567	58028573	58033762	5190	-	1775	upstream	1775	ZNF319
chr16	58035538	58035560	23	*	X2627	79650	58035277	58055527	20251	+	0	inside	260	USB1
chr16	58059463	58059537	75	*	X2628	4324	58059282	58080804	21523	+	0	inside	180	MMP15
chr16	58768147	58768236	90	*	X2631	2806	58741035	58768246	27212	-	0	inside	9	GOT2
chr16	67261196	67261286	91	*	X2644	26231	67241042	67260901	19860	-	294	upstream	294	LRRC29
chr16	67261196	67261286	91	*	X2644	29100	67261016	67263182	2167	+	0	inside	179	TMEM208
chr16	67282361	67282480	120	*	X2645	29109	67263292	67281425	18134	-	935	upstream	935	FHOD1
chr16	67282361	67282480	120	*	X2645	6553	67282855	67306094	23240	+	374	upstream	374	SLC9A5
chr16	67282601	67282720	120	*	X2646	29109	67263292	67281425	18134	-	1175	upstream	1175	FHOD1
chr16	67282601	67282720	120	*	X2646	6553	67282855	67306094	23240	+	134	upstream	134	SLC9A5
chr16	67360675	67360957	283	*	X2649	146212	67323393	67360661	37269	-	13	upstream	13	KCTD19
chr16	67360675	67360957	283	*	X2649	55282	67360747	67419109	58363	+	0	overlapStart	0	LRRC36
chr16	67464036	67464132	97	*	X2652	3291	67465036	67471454	6419	+	903	upstream	903	HSD11B2
chr16	67464208	67464297	90	*	X2653	3291	67465036	67471454	6419	+	738	upstream	738	HSD11B2
chr16	67562639	67562683	45	*	X2655	79567	67562717	67580691	17975	+	33	upstream	33	RIPOR1
chr16	67562698	67562717	20	*	X2656	79567	67562717	67580691	17975	+	0	overlapStart	0	RIPOR1
chr16	67880775	67880824	50	*	X2658	10204	67880819	67905219	24401	+	0	overlapStart	0	NUTF2
chr16	68297768	68297947	180	*	X2660	9057	68298419	68335726	37308	+	471	upstream	471	SLC7A6
chr16	69139704	69139808	105	*	X2665	3038	69139467	69152619	13153	+	0	inside	236	HAS3
chr16	70720261	70720440	180	*	X2667	92154	70695107	70719954	24848	-	306	upstream	306	MTSS2
chr16	71323532	71323556	25	*	X2669	55783	71316203	71323513	7311	-	18	upstream	18	CMTR2
chr16	73093104	73093162	59	*	X2673	463	72816786	73092534	275749	-	569	upstream	569	ZFHX3
chr16	79635229	79635318	90	*	X2692	4094	79627745	79634622	6878	-	606	upstream	606	MAF
chr16	81041119	81041223	105	*	X2694	56942	81009699	81040502	30804	-	616	upstream	616	CMC2
chr16	84273637	84273771	135	*	X2710	93107	84254741	84273356	18616	-	280	upstream	280	KCNG4
chr16	88729934	88729997	64	*	X2760	197187	88729781	88753594	23814	+	0	inside	152	SNAI3-AS1
chr16	88729934	88729997	64	*	X2760	4597	88718348	88729495	11148	-	438	upstream	438	MVD
chr16	88752821	88752940	120	*	X2761	333929	88744090	88752882	8793	-	0	overlapStart	0	SNAI3
chr16	88752971	88753120	150	*	X2762	333929	88744090	88752882	8793	-	88	upstream	88	SNAI3
chr16	90015252	90015255	4	*	X2773	54849	90015139	90034468	19330	+	0	inside	112	DEF8
chr17	1929281	1929415	135	*	X2787	146760	1837971	1928178	90208	-	1102	upstream	1102	RTN4RL1
chr17	1957563	1957727	165	*	X2788	3090	1957448	1962981	5534	+	0	inside	114	HIC1
chr17	2699850	2699929	80	*	X2795	23108	2699732	2941035	241304	+	0	inside	117	RAP1GAP2
chr17	3868472	3868500	29	*	X2806	489	3827163	3867758	40596	-	713	upstream	713	ATP2A3
chr17	4487295	4487310	16	*	X2811	342527	4487276	4511614	24339	+	0	inside	18	SMTNL2
chr17	4613252	4613371	120	*	X2812	409	4613789	4624795	11007	+	417	upstream	417	ARRB2
chr17	4635014	4635089	76	*	X2813	400569	4634723	4636896	2174	+	0	inside	290	MED11
chr17	6340197	6340271	75	*	X2825	23746	6327059	6338519	11461	-	1677	upstream	1677	AIPL1
chr17	6735013	6735040	28	*	X2829	83659	6703300	6735060	31761	-	0	inside	19	TEKT1
chr17	6734906	6734949	44	*	X2830	83659	6703300	6735060	31761	-	0	inside	110	TEKT1
chr17	7184318	7184452	135	*	X2834	6517	7185054	7191367	6314	+	601	upstream	601	SLC2A4
chr17	7184783	7184887	105	*	X2835	6517	7185054	7191367	6314	+	166	upstream	166	SLC2A4
chr17	7197548	7197667	120	*	X2836	51087	7191571	7197876	6306	-	0	inside	208	YBX2
chr17	7518419	7518487	69	*	X2842	9513	7494548	7518215	23668	-	203	upstream	203	FXR2
chr17	7619825	7619989	165	*	X2849	146754	7621079	7737058	115980	+	1089	upstream	1089	DNAH2
chr17	7620935	7621039	105	*	X2850	146754	7621079	7737058	115980	+	39	upstream	39	DNAH2
chr17	7621160	7621414	255	*	X2851	146754	7621079	7737058	115980	+	0	inside	80	DNAH2
chr17	7905766	7905840	75	*	X2863	3000	7905988	7923658	17671	+	147	upstream	147	GUCY2D
chr17	7991364	7991414	51	*	X2868	100422983	7991374	7991465	92	+	0	overlapStart	0	MIR4314
chr17	7991364	7991414	51	*	X2868	242	7975954	7991021	15068	-	342	upstream	342	ALOX12B
chr17	7991460	7991564	105	*	X2869	100422983	7991374	7991465	92	+	0	overlapEnd	85	MIR4314
chr17	7991460	7991564	105	*	X2869	242	7975954	7991021	15068	-	438	upstream	438	ALOX12B
chr17	8079498	8079519	22	*	X2872	84314	8076297	8079714	3418	-	0	inside	194	TMEM107
chr17	8649336	8649410	75	*	X2874	146849	8633246	8648154	14909	-	1181	upstream	1181	CCDC42
chr17	8869048	8869182	135	*	X2875	23533	8782233	8869029	86797	-	18	upstream	18	PIK3R5
chr17	9547887	9548051	165	*	X2876	124739	9548580	9633003	84424	+	528	upstream	528	USP43
chr17	9548697	9548706	10	*	X2877	124739	9548580	9633003	84424	+	0	inside	116	USP43
chr17	14203265	14203384	120	*	X2887	9953	14204506	14249492	44987	+	1121	upstream	1121	HS3ST3B1
chr17	16284550	16284768	219	*	X2889	7314	16284367	16286054	1688	+	0	inside	182	UBB
chr17	16318519	16318548	30	*	X2890	51393	16318856	16340317	21462	+	307	upstream	307	TRPV2
chr17	16396895	16396969	75	*	X2891	388341	16345319	16395505	50187	-	1389	upstream	1389	LRRC75A
chr17	18853404	18853436	33	*	X2897	125206	18853989	18924004	70016	+	552	upstream	552	SLC5A10
chr17	19174628	19174717	90	*	X2899	100874309	19174706	19177701	2996	+	0	overlapStart	0	EPN2-IT1
chr17	19281195	19281247	53	*	X2901	27077	19240867	19281495	40629	-	0	inside	247	B9D1
chr17	19281195	19281247	53	*	X2901	5598	19281034	19286857	5824	+	0	inside	160	MAPK7
chr17	21156743	21156847	105	*	X2913	256302	21142184	21156578	14395	-	164	upstream	164	NATD1
chr17	26221402	26221521	120	*	X2918	201229	26205340	26220409	15070	-	992	upstream	992	LYRM9
chr17	26221402	26221521	120	*	X2918	4843	26083792	26220409	136618	-	992	upstream	992	NOS2
chr17	26572581	26572715	135	*	X2920	23614	26574470	26575315	846	+	1754	upstream	1754	PPY2P
chr17	26973893	26973901	9	*	X2923	9703	26941458	26972177	30720	-	1715	upstream	1715	KIAA0100
chr17	27054178	27054210	33	*	X2924	116238	27051366	27053949	2584	-	228	upstream	228	TLCD1
chr17	27054178	27054210	33	*	X2924	284086	27055832	27069784	13953	+	1621	upstream	1621	NEK8
chr17	27070920	27071009	90	*	X2925	9618	27071023	27077976	6954	+	13	upstream	13	TRAF4
chr17	28257188	28257273	86	*	X2935	85464	27952965	28257018	304054	-	169	upstream	169	SSH2
